mode_id,score_norm_before,score_norm_after,extra_ascent_displacement,perturb_endpoint_distance_mean,perturb_endpoint_distance_max,attraction_fraction_r0.05,attraction_fraction_r0.1,attraction_fraction_r0.2,x_0,refined_x_0,x_1,refined_x_1,x_2,refined_x_2,x_3,refined_x_3,x_4,refined_x_4,x_5,refined_x_5,x_6,refined_x_6,x_7,refined_x_7,x_8,refined_x_8,x_9,refined_x_9,x_10,refined_x_10,x_11,refined_x_11,x_12,refined_x_12,run_name,modes_path,checkpoint,method,r_value,seed
78,30.115223,0.8066023,0.33558542,0.0467515,0.06571737,0.375,1.0,1.0,0.42730787,0.4796721,0.95995957,1.0590329,-0.527503,-0.5319488,-0.9040067,-0.8990083,1.5299244,1.5909226,-0.015826682,0.21762694,-0.7757655,-0.7749351,-0.5122384,-0.6896056,-0.89116645,-0.88647175,-0.7734889,-0.77452284,-0.023604017,0.0067742676,0.51470155,0.56639683,1.0237882,1.1057378,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
79,6.029772,3.5306215,0.535111,0.069026574,0.1292416,0.25,0.875,1.0,-0.04649142,-0.06397593,-0.8625402,-0.9897708,-0.5256605,-0.52731067,0.4715203,0.51685923,-0.098982066,-0.16871092,-0.76649433,-0.7701167,-0.77388245,-0.7758511,-0.68876576,-0.6886599,1.6705594,1.6916107,-0.1781802,0.31015268,1.0743946,1.1456438,0.44519332,0.32754347,-0.7398892,-0.66859496,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
80,14.259759,1.2274235,0.44664487,0.07084564,0.11139776,0.25,0.875,1.0,0.6290224,0.68488616,-0.18044218,-0.17768502,-0.51722616,-0.5276376,0.22252446,0.31356522,-0.9072279,-0.8964942,1.7717018,2.15471,-0.7522528,-0.77542734,-0.68062717,-0.6685414,-0.88761634,-0.88711864,-0.7748754,-0.77392685,-0.6865961,-0.7507448,-0.9976077,-1.0336705,0.88856405,0.70133144,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
81,13.846338,6.1562653,0.95466393,0.08711781,0.13153003,0.0,0.75,1.0,0.38831124,0.5818268,1.275944,1.6516131,1.9868585,2.6847384,0.34915352,0.23484743,-0.93270797,-0.9306437,-0.78335536,-0.79190415,-0.039452914,0.22409824,1.4005427,1.27033,-0.13248518,0.23881386,-0.7902789,-0.7926601,-0.042461697,0.047663126,-0.1726995,-0.16325074,-1.3547983,-1.3432664,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
82,11.210316,3.6922076,0.75098467,0.11597679,0.16204478,0.0,0.375,1.0,-0.20225719,0.024708828,0.12688737,0.10396838,2.6965055,2.8227332,0.3087631,0.5091922,-0.9053966,-0.9116822,-0.7880346,-0.7976374,1.6753298,1.5835251,0.41356227,0.57079226,0.21197219,0.41448012,-0.23403454,-0.7848478,1.7480407,1.7234293,-1.000818,-0.9968796,-1.4056945,-1.6841309,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
83,6.044136,6.736317,0.5657767,0.3111586,0.56942916,0.0,0.125,0.25,0.5499001,0.6177771,1.1796548,1.3212055,2.5426574,2.7995143,-0.88595384,-0.8842733,-0.9093836,-0.9096312,-0.770649,-0.7673718,0.52142596,0.6477749,2.7293038,3.0537455,-0.05472025,-0.0012879816,1.6434903,1.5999074,0.14564262,0.10686941,-0.73737156,-0.45660916,-1.1459956,-0.9938166,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
84,11.192584,2.4955974,0.5578173,0.05636685,0.084498644,0.25,1.0,1.0,-0.3841562,-0.65867484,0.11396608,0.07344768,-0.532771,-0.5318299,-0.90038556,-0.9142148,-0.054994754,-0.031643867,-0.77927583,-0.76267505,-0.8117795,-0.81290513,-0.6822548,-0.6899336,1.4393103,1.4813777,1.2402804,0.9856634,1.0269859,1.3504791,0.83489794,0.6897078,-0.19920874,0.0026751964,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
85,8.983033,10.794506,0.9200538,0.13217503,0.17109975,0.0,0.25,1.0,0.70555294,0.8608266,1.8464974,2.1465452,2.5274487,2.11595,-0.9192356,-0.9134189,-0.9140062,-0.91103595,-0.7643923,-0.7470471,0.69913304,1.04958,2.7895272,3.2634397,0.060862824,0.03450831,-0.79106206,-0.7917347,-0.7559229,-1.214035,-1.062578,-1.041832,-1.1421393,-1.2076181,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
86,16.353092,5.1758823,0.9253241,0.028533598,0.052261185,0.875,1.0,1.0,-2.0301838,-1.9722828,-0.9226376,-0.97162074,0.37637642,0.893309,0.34569272,0.26854107,-0.9037861,-0.90596485,-0.766671,-0.7844795,0.12637849,0.5050807,-0.69658744,-0.6903018,-0.43132997,-0.8585107,-0.7678526,-0.77071047,-0.38066685,-0.3877723,-1.0427102,-1.0577779,-0.9201932,-0.4194385,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
87,12.964179,7.2227635,0.9322504,0.06720671,0.1043522,0.5,0.875,1.0,0.63505536,0.76252055,1.4158496,1.6001877,1.9680636,1.8343047,-0.89835054,-0.8975853,-0.9117262,-0.912331,-0.73630285,-0.70816565,0.72306234,0.7158445,3.5513186,4.282457,-0.887503,-0.77564406,1.7549913,1.2883404,1.9122394,2.0599427,-1.0207733,-0.9917843,-1.2808439,-1.3932338,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
