K,eps,method,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,soft_error_mean,soft_error_std,n_found_mean,n_found_std,nfe_mean,nfe_std
6,2.5,b10,1.0,0.0,0.6731621949124204,0.13911859424130069,0.796325541615299,0.1075497076748499,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
6,3.0,v3f2,0.8333333333333334,0.10910894511799617,0.7845238095238095,0.16830162601051793,0.8057885776195636,0.1401687033756103,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,3.0,b0,1.0,0.0,0.6544789078602442,0.15284026318874927,0.7807617523693491,0.12080627433093191,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
6,3.0,b10,1.0,0.0,0.8546135069576928,0.09535405696269907,0.918773576869403,0.05910378135234037,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
7,1.0,v3f2,0.3428571428571428,0.15079961797478503,0.3361111111111111,0.15120297411161104,0.3388461538461538,0.15029100812914598,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,1.0,b0,0.3333333333333333,0.2067848184159274,0.005311363693888302,0.00448787671059576,0.0103834331593758,0.008722599238266538,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,1.0,b10,0.5904761904761905,0.15144268962551707,0.10653331866899138,0.1080025332717552,0.16581503044013302,0.1582604079706111,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
7,1.5,v3f2,0.6,0.11065666703449764,0.6031746031746031,0.13030659152987745,0.6005380060552474,0.11714963387049743,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,1.5,b0,0.7428571428571428,0.15461793408061889,0.07826922881180454,0.06157927501712202,0.1361486068729321,0.10289542792224142,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,1.5,b10,0.9238095238095239,0.09142006763174065,0.2692183907517263,0.15596280140782576,0.39946291761079217,0.19416219305610674,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
7,2.0,v3f2,0.7714285714285715,0.11829695303011788,0.776984126984127,0.12996042564604035,0.7730713730713731,0.12095817550885732,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,2.0,b0,0.9619047619047619,0.06539110117386623,0.27906790453087577,0.1742087057496993,0.4076457633359586,0.22028594161303788,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,2.0,b10,0.9714285714285714,0.059148476515058945,0.5384305383435034,0.1420833022745104,0.6811806948819199,0.13695002924555408,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
7,2.5,v3f2,0.9047619047619048,0.11664236870396087,0.9091269841269842,0.12802990224434557,0.9058363858363858,0.11944212431453807,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,2.5,b0,0.9904761904761905,0.036885555678165885,0.5107717684195654,0.20847224474117604,0.6486186236882931,0.20173914147791155,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,2.5,b10,0.9904761904761905,0.036885555678165885,0.7524102170749757,0.12593086358769268,0.8482860212023045,0.0887084947092993,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
7,3.0,v3f2,0.9333333333333333,0.07377111135633177,0.9380952380952381,0.09589484441625161,0.9345054945054945,0.07960431412079845,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,3.0,b0,1.0,0.0,0.7056981106335978,0.17026111690128465,0.8151713708886485,0.1322513671844142,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,3.0,b10,1.0,0.0,0.8841742246695986,0.0775841506234827,0.936755767334279,0.046102685754092876,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
