method,K,dseed,init_seed,eps,recall,precision,f1,soft_error,n_found,n_hits,n_correct,nfe
b0,2,1,2,1.5,1.0,0.04664879356568365,0.08913934426229508,0.9876372297937115,1865,2,87,2000000
b0,2,1,2,2.0,1.0,0.26970509383378016,0.4248310810810811,0.9876372297937115,1865,2,503,2000000
b0,2,1,2,2.5,1.0,0.6080428954423592,0.7562520840280094,0.9876372297937115,1865,2,1134,2000000
b0,2,1,2,3.0,1.0,0.8107238605898124,0.8954693514954102,0.9876372297937115,1865,2,1512,2000000
b10,2,1,2,1.0,1.0,0.039382239382239385,0.07578008915304607,0.6161331980510396,1295,2,51,2020000
b10,2,1,2,1.5,1.0,0.36525096525096523,0.5350678733031674,0.6161331980510396,1295,2,473,2020000
b10,2,1,2,2.0,1.0,0.6826254826254826,0.8113813675998165,0.6161331980510396,1295,2,884,2020000
b10,2,1,2,2.5,1.0,0.8401544401544402,0.9131347041544272,0.6161331980510396,1295,2,1088,2020000
b10,2,1,2,3.0,1.0,0.9374517374517375,0.967716221602232,0.6161331980510396,1295,2,1214,2020000
v3f2,2,2,0,1.0,1.0,1.0,1.0,0.546123726287257,2,2,2,17120
v3f2,2,2,0,1.5,1.0,1.0,1.0,0.546123726287257,2,2,2,17120
v3f2,2,2,0,2.0,1.0,1.0,1.0,0.546123726287257,2,2,2,17120
v3f2,2,2,0,2.5,1.0,1.0,1.0,0.546123726287257,2,2,2,17120
v3f2,2,2,0,3.0,1.0,1.0,1.0,0.546123726287257,2,2,2,17120
b0,2,2,0,1.0,1.0,0.0010309278350515464,0.0020597322348094747,0.8003323963380313,1940,2,2,2000000
b0,2,2,0,1.5,1.0,0.031958762886597936,0.06193806193806194,0.8003323963380313,1940,2,62,2000000
b0,2,2,0,2.0,1.0,0.2097938144329897,0.34682573498082664,0.8003323963380313,1940,2,407,2000000
b0,2,2,0,2.5,1.0,0.5365979381443299,0.6984233478698424,0.8003323963380313,1940,2,1041,2000000
b0,2,2,0,3.0,1.0,0.8118556701030928,0.8961593172119487,0.8003323963380313,1940,2,1575,2000000
b10,2,2,0,1.0,1.0,0.02127659574468085,0.04166666666666667,0.6861283479664004,1504,2,32,2020000
b10,2,2,0,1.5,1.0,0.2632978723404255,0.41684210526315785,0.6861283479664004,1504,2,396,2020000
b10,2,2,0,2.0,1.0,0.7400265957446809,0.8505922812380589,0.6861283479664004,1504,2,1113,2020000
b10,2,2,0,2.5,1.0,0.9488031914893617,0.9737291026953259,0.6861283479664004,1504,2,1427,2020000
b10,2,2,0,3.0,1.0,0.9920212765957447,0.9959946595460614,0.6861283479664004,1504,2,1492,2020000
v3f2,2,2,1,1.0,1.0,1.0,1.0,0.5460985842160014,2,2,2,17180
v3f2,2,2,1,1.5,1.0,1.0,1.0,0.5460985842160014,2,2,2,17180
v3f2,2,2,1,2.0,1.0,1.0,1.0,0.5460985842160014,2,2,2,17180
v3f2,2,2,1,2.5,1.0,1.0,1.0,0.5460985842160014,2,2,2,17180
v3f2,2,2,1,3.0,1.0,1.0,1.0,0.5460985842160014,2,2,2,17180
b0,2,2,1,1.0,1.0,0.00102880658436214,0.0020554984583761563,0.7487477319484105,1944,2,2,2000000
b0,2,2,1,1.5,1.0,0.0360082304526749,0.06951340615690169,0.7487477319484105,1944,2,70,2000000
b0,2,2,1,2.0,1.0,0.20679012345679013,0.34271099744245526,0.7487477319484105,1944,2,402,2000000
b0,2,2,1,2.5,1.0,0.5411522633744856,0.7022696929238985,0.7487477319484105,1944,2,1052,2000000
b0,2,2,1,3.0,1.0,0.8204732510288066,0.9013845719129698,0.7487477319484105,1944,2,1595,2000000
b10,2,2,1,1.0,1.0,0.014829142488716958,0.029224904701397714,0.793435920944485,1551,2,23,2020000
b10,2,2,1,1.5,1.0,0.24629271437782077,0.3952405587170202,0.793435920944485,1551,2,382,2020000
b10,2,2,1,2.0,1.0,0.7066408768536429,0.8281072912731395,0.793435920944485,1551,2,1096,2020000
b10,2,2,1,2.5,1.0,0.9464861379754996,0.97250745279894,0.793435920944485,1551,2,1468,2020000
b10,2,2,1,3.0,1.0,0.9948420373952289,0.9974143503555268,0.793435920944485,1551,2,1543,2020000
v3f2,2,2,2,1.0,1.0,1.0,1.0,0.5472857120512473,2,2,2,17250
v3f2,2,2,2,1.5,1.0,1.0,1.0,0.5472857120512473,2,2,2,17250
v3f2,2,2,2,2.0,1.0,1.0,1.0,0.5472857120512473,2,2,2,17250
v3f2,2,2,2,2.5,1.0,1.0,1.0,0.5472857120512473,2,2,2,17250
v3f2,2,2,2,3.0,1.0,1.0,1.0,0.5472857120512473,2,2,2,17250
b0,2,2,2,1.0,1.0,0.002054442732408834,0.004100461301896464,0.9190046499866964,1947,2,4,2000000
b0,2,2,2,1.5,1.0,0.03338469440164355,0.06461232604373757,0.9190046499866964,1947,2,65,2000000
b0,2,2,2,2.0,1.0,0.20390344119157677,0.3387372013651877,0.9190046499866964,1947,2,397,2000000
b0,2,2,2,2.5,1.0,0.5202876219825372,0.6844594594594594,0.9190046499866964,1947,2,1013,2000000
b0,2,2,2,3.0,1.0,0.8212634822804314,0.9018612521150592,0.9190046499866964,1947,2,1599,2000000
b10,2,2,2,1.0,1.0,0.014925373134328358,0.029411764705882353,0.6303411214023265,1541,2,23,2020000
b10,2,2,2,1.5,1.0,0.24529526281635303,0.39395518499218346,0.6303411214023265,1541,2,378,2020000
b10,2,2,2,2.0,1.0,0.7203114860480208,0.8374198415692192,0.6303411214023265,1541,2,1110,2020000
b10,2,2,2,2.5,1.0,0.945489941596366,0.9719813208805871,0.6303411214023265,1541,2,1457,2020000
b10,2,2,2,3.0,1.0,0.9922128487994809,0.9960912052117264,0.6303411214023265,1541,2,1529,2020000
v3f2,2,3,0,1.0,1.0,1.0,1.0,0.5749903146671664,2,2,2,17110
v3f2,2,3,0,1.5,1.0,1.0,1.0,0.5749903146671664,2,2,2,17110
v3f2,2,3,0,2.0,1.0,1.0,1.0,0.5749903146671664,2,2,2,17110
v3f2,2,3,0,2.5,1.0,1.0,1.0,0.5749903146671664,2,2,2,17110
v3f2,2,3,0,3.0,1.0,1.0,1.0,0.5749903146671664,2,2,2,17110
b0,2,3,0,1.0,0.5,0.010392609699769052,0.02036199095022624,1.1276365552516834,1732,1,18,2000000
b0,2,3,0,1.5,0.5,0.1397228637413395,0.21841155234657042,1.1276365552516834,1732,1,242,2000000
b0,2,3,0,2.0,1.0,0.3140877598152425,0.4780316344463972,1.1276365552516834,1732,2,544,2000000
b0,2,3,0,2.5,1.0,0.40011547344110854,0.5715463917525773,1.1276365552516834,1732,2,693,2000000
b0,2,3,0,3.0,1.0,0.4907621247113164,0.6584043377226956,1.1276365552516834,1732,2,850,2000000
b10,2,3,0,1.0,0.5,0.05536626916524702,0.09969325153374234,0.7141183146500025,1174,1,65,2020000
b10,2,3,0,1.5,1.0,0.059625212947189095,0.11254019292604502,0.7141183146500025,1174,2,70,2020000
b10,2,3,0,2.0,1.0,0.11754684838160136,0.21036585365853658,0.7141183146500025,1174,2,138,2020000
b10,2,3,0,2.5,1.0,0.303236797274276,0.465359477124183,0.7141183146500025,1174,2,356,2020000
b10,2,3,0,3.0,1.0,0.5502555366269165,0.7098901098901098,0.7141183146500025,1174,2,646,2020000
v3f2,2,3,1,1.0,1.0,1.0,1.0,0.571725624269281,2,2,2,17610
v3f2,2,3,1,1.5,1.0,1.0,1.0,0.571725624269281,2,2,2,17610
v3f2,2,3,1,2.0,1.0,1.0,1.0,0.571725624269281,2,2,2,17610
v3f2,2,3,1,2.5,1.0,1.0,1.0,0.571725624269281,2,2,2,17610
v3f2,2,3,1,3.0,1.0,1.0,1.0,0.571725624269281,2,2,2,17610
b0,2,3,1,1.0,0.5,0.016609392898052692,0.03215077605321508,0.8970314505357548,1746,1,29,2000000
