group,label_index,k_neighbors,n_reference_cells,mean,median,q90,q95,q99,selected_quantile,selected_threshold
MPP_cells,6.0,50,152,1.7048869617378752,1.5956702809100165,2.0040674346182246,2.297308743475958,3.9684608221996953,0.95,2.297308743475958
MPP_cells,6.0,100,152,1.8400745059966632,1.7378612620195617,2.1195243355678244,2.4163647324896798,4.285398498467233,0.95,2.4163647324896798
MPP_cells,6.0,200,152,1.9920372332689589,1.8975951201731103,2.284790416458637,2.548255069945049,4.558719093094395,0.95,2.548255069945049
Myelocyte_cells,7.0,25,2000,1.0830288531009988,1.0603080595428478,1.4511466502822103,1.5797604513065264,1.8745865480767505,0.95,1.5797604513065264
Myelocyte_cells,7.0,50,2000,1.16291887117963,1.1377720212764009,1.540053846189404,1.6763689398986588,1.969161532041506,0.95,1.6763689398986588
Myelocyte_cells,7.0,100,2000,1.2513548044539615,1.2264597082175577,1.6381252024889146,1.7839316793910267,2.0974749513699056,0.95,1.7839316793910267
Myelocyte_cells,7.0,200,2000,1.3489481767285902,1.319703638026065,1.7511994374055306,1.8937193142527589,2.2408070150701054,0.95,1.8937193142527589
Naive_CD4+_T_cells,8.0,25,2000,0.9051869046692113,0.8591668323495403,1.2109978633092398,1.3654594599083207,1.7231688920400896,0.95,1.3654594599083207
Naive_CD4+_T_cells,8.0,50,2000,0.9739179457146292,0.9234577266231594,1.292713484370195,1.4560527924162576,1.8120136259127397,0.95,1.4560527924162576
Naive_CD4+_T_cells,8.0,100,2000,1.0512896797553255,0.9984271738248272,1.3834102365703915,1.5545281779315758,1.9342850832404919,0.95,1.5545281779315758
Naive_CD4+_T_cells,8.0,200,2000,1.13877125777814,1.0862831455604254,1.4840084021157756,1.6643479371004228,2.051686483982118,0.95,1.6643479371004228
Naive_CD8+_T_cells,9.0,25,2000,0.9961041263930429,0.9616659977972547,1.2870239009931899,1.3955649602577473,1.6700170163164654,0.95,1.3955649602577473
Naive_CD8+_T_cells,9.0,50,2000,1.069571289898102,1.0303738529068802,1.3709310149975753,1.4872145133332868,1.7703255722682258,0.95,1.4872145133332868
Naive_CD8+_T_cells,9.0,100,2000,1.152203263806779,1.1120493574957608,1.4684854363136874,1.5873726481361181,1.8662465037385827,0.95,1.5873726481361181
Naive_CD8+_T_cells,9.0,200,2000,1.2452591678147178,1.2041518216536833,1.5734092889408111,1.697787100931682,1.9867105554563411,0.95,1.697787100931682
